flight_id,flight_no,arrival_airport,airport_name,city,scheduled_departure,scheduled_arrival,status,arival_longitude,arival_latitude,model,total_seat_cnt,occ_seats,sum_per_flight,time_in_air
136162,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-10T10:05:00Z,2016-11-10T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,116,1666400.00,100.0
136163,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-09-11T10:05:00Z,2017-09-11T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,170800.00,
136164,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-07T10:05:00Z,2017-01-07T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,120,1738400.00,99.0
136165,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-22T10:05:00Z,2017-02-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,110,1567600.00,101.0
136166,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-18T10:05:00Z,2017-07-18T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,125,1825000.00,99.0
136167,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-18T10:05:00Z,2017-04-18T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,105,1532200.00,101.0
136168,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-08T10:05:00Z,2017-03-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1629800.00,100.0
136169,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-02T10:05:00Z,2017-05-02T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,129,1873800.00,101.0
136170,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-09-07T10:05:00Z,2017-09-07T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,585600.00,
136171,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-20T10:05:00Z,2016-09-20T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,113,1678600.00,102.0
136172,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,110,1617600.00,99.0
136173,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-09T10:05:00Z,2017-06-09T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1701800.00,98.0
136174,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-15T10:05:00Z,2016-09-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,107,1457800.00,99.0
136175,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-22T10:05:00Z,2016-08-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,73,990600.00,101.0
136176,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-04T10:05:00Z,2017-08-04T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,98,1468800.00,102.0
136177,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-30T10:05:00Z,2016-11-30T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,115,1703000.00,100.0
136178,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,99,1434600.00,99.0
136179,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-23T10:05:00Z,2017-08-23T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1751800.00,
136180,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-24T10:05:00Z,2016-09-24T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,113,1654200.00,100.0
136181,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1689600.00,99.0
136182,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-26T10:05:00Z,2017-06-26T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,114,1690800.00,101.0
136183,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-25T10:05:00Z,2017-05-25T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1555400.00,101.0
136184,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-08T10:05:00Z,2017-05-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,130,1886000.00,101.0
136185,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,104,1520000.00,103.0
136186,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-12T10:05:00Z,2017-05-12T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1715200.00,99.0
136187,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-01T10:05:00Z,2016-12-01T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,129,1873800.00,100.0
136188,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-25T10:05:00Z,2017-07-25T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,120,1739600.00,101.0
136189,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-06T10:05:00Z,2016-09-06T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,129,1873800.00,99.0
136190,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-25T10:05:00Z,2016-09-25T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,114,1689600.00,99.0
136191,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-16T10:05:00Z,2016-10-16T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,94,1371200.00,99.0
136192,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-26T10:05:00Z,2017-03-26T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,116,1666400.00,101.0
136193,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-27T10:05:00Z,2016-08-27T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,101,1506600.00,100.0
136194,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-08T10:05:00Z,2017-07-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,120,1764000.00,99.0
136195,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-24T10:05:00Z,2016-11-24T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,101,1456600.00,101.0
136196,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-02T10:05:00Z,2017-04-02T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,113,1629800.00,99.0
136197,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-25T10:05:00Z,2017-04-25T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,130,1886000.00,100.0
136198,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-10T10:05:00Z,2017-07-10T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,110,1592000.00,101.0
136199,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-08T10:05:00Z,2016-11-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,106,1592000.00,101.0
136200,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-18T10:05:00Z,2017-08-18T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1886000.00,
136201,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-03T10:05:00Z,2017-08-03T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,101,1456600.00,101.0
136202,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,100,1495600.00,102.0
136203,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-24T10:05:00Z,2017-05-24T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,112,1593200.00,99.0
136204,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-23T10:05:00Z,2017-02-23T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,107,1457800.00,100.0
136205,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-22T10:05:00Z,2017-04-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1555400.00,100.0
136206,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-09T10:05:00Z,2016-11-09T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1701800.00,100.0
136207,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-27T10:05:00Z,2016-12-27T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,110,1567600.00,101.0
136208,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-17T10:05:00Z,2016-10-17T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1775000.00,99.0
136209,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-06T10:05:00Z,2017-01-06T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,112,1615200.00,100.0
136210,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-21T10:05:00Z,2016-12-21T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1711600.00,100.0
136211,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-01T10:05:00Z,2017-07-01T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,108,1544400.00,98.0
136212,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-05T10:05:00Z,2017-04-05T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,99,1433400.00,101.0
136213,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-31T10:05:00Z,2017-08-31T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1409000.00,
136214,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-02T10:05:00Z,2017-06-02T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,112,1666400.00,99.0
136215,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-28T10:05:00Z,2017-02-28T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,114,1664000.00,100.0
136216,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-04T10:05:00Z,2017-07-04T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,99,1432200.00,101.0
136217,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-10T10:05:00Z,2017-06-10T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,113,1653000.00,100.0
136218,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-27T10:05:00Z,2017-08-27T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1689600.00,
136219,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-17T10:05:00Z,2016-08-17T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,49,673400.00,100.0
136220,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-11T10:05:00Z,2017-07-11T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,111,1579800.00,101.0
136221,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-09-04T10:05:00Z,2017-09-04T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,712400.00,
136222,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-13T10:05:00Z,2017-07-13T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,114,1665200.00,101.0
136223,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-13T10:05:00Z,2016-12-13T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1751800.00,101.0
136224,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-15T10:05:00Z,2017-03-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,126,1837200.00,101.0
136225,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-19T10:05:00Z,2017-07-19T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1554200.00,100.0
136226,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,130,1886000.00,100.0
136227,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-23T10:05:00Z,2016-11-23T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1737200.00,101.0
136228,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-18T10:05:00Z,2016-09-18T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1675000.00,101.0
136229,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-18T10:05:00Z,2017-05-18T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,99,1456600.00,100.0
136230,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-21T10:05:00Z,2017-08-21T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1479800.00,
136231,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-03T10:05:00Z,2016-10-03T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,102,1517600.00,100.0
136232,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-29T10:05:00Z,2017-07-29T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,111,1629800.00,99.0
136233,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-01T10:05:00Z,2017-04-01T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1773800.00,99.0
136234,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-16T10:05:00Z,2017-06-16T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1654200.00,101.0
136235,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-08T10:05:00Z,2016-10-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,102,1467600.00,101.0
136236,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-22T10:05:00Z,2016-11-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,111,1556600.00,101.0
136237,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-02T10:05:00Z,2016-10-02T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1712800.00,101.0
136238,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-15T10:05:00Z,2017-08-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,119,1727400.00,99.0
136239,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-17T10:05:00Z,2016-11-17T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,124,1788400.00,100.0
136240,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-15T10:05:00Z,2017-04-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,115,1677400.00,99.0
136241,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-10T10:05:00Z,2017-03-10T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,114,1640800.00,101.0
136242,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-01T10:05:00Z,2016-10-01T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1665200.00,99.0
136243,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-11T10:05:00Z,2017-03-11T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1726200.00,100.0
136244,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-22T10:05:00Z,2016-12-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1703000.00,99.0
136245,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-09T10:05:00Z,2017-04-09T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,103,1531000.00,100.0
136246,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-12T10:05:00Z,2016-09-12T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,107,1603000.00,100.0
136247,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-21T10:05:00Z,2017-06-21T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,126,1812800.00,99.0
136248,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-09T10:05:00Z,2017-08-09T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,110,1593200.00,101.0
136249,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-14T10:05:00Z,2017-02-14T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,123,1800600.00,98.0
136250,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-08T10:05:00Z,2017-02-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,99,1407800.00,101.0
136251,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-06T10:05:00Z,2016-10-06T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,102,1542000.00,101.0
136252,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-20T10:05:00Z,2016-12-20T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,102,1517600.00,101.0
136253,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-24T10:05:00Z,2016-12-24T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,93,1407800.00,98.0
136254,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-23T10:05:00Z,2016-08-23T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,80,1151600.00,100.0
136255,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-20T10:05:00Z,2017-06-20T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,116,1689600.00,100.0
